usage,timing_ms
6,2208.97
6,2335.48
6,2336.61
6,2337.47
6,2338.93
6,2381.61
6,2381.53
6,2308.25
6,2306.13
6,2311.52
6,2307.35
6,2437.45
6,2440.73
6,2440.52
6,2442.28
6,2439.36
6,2443.07
6,2437.61
6,2439.38
6,2445.31
7,2225.65
7,2303.81
7,2351.22
7,2321.89
7,2362.28
7,2364.26
7,2357.03
7,2370.99
7,2381.15
7,2372.32
7,2382.26
7,2452.98
7,2444.58
7,2441.48
7,2462.3
7,2438.93
7,2461.52
7,2455.4
7,2454.24
7,2448.23
8,2073.84
8,2235.5
8,2290.68
8,2289.89
8,2319.7
8,2336.21
8,2341.78
8,2337.42
8,2340.05
8,2343.08
8,2339.33
8,2382.29
8,2392.28
8,2397.39
8,2396.94
8,2408.93
8,2401.22
8,2397.41
8,2399.57
8,2399.97
9,2069.66
9,2224.76
9,2243.11
9,2242.98
9,2257.7
9,2283.61
9,2286.12
9,2273.66
9,2279.61
9,2284.97
9,2273.28
9,2375.96
9,2388.89
9,2387.74
9,2396.82
9,2396.56
9,2385.28
9,2379.7
9,2385.77
9,2392.66
10,2067.78
10,2075.02
10,2218.45
10,2241.68
10,2266.85
10,2248.27
10,2237.47
10,2337.78
10,2352.43
10,2344.54
10,2379.61
10,2286.93
10,2309.06
10,2311.11
10,2369.12
10,2357.96
10,2353.72
10,2353.8
10,2350.35
10,2350.13
11,2285.33
11,2109.27
11,2085.69
11,2083.4
11,2086.81
11,2213.19
11,2257.9
11,2168.77
11,2251.43
11,2247.05
11,2252.59
11,2300.82
11,2305.14
11,2318.78
11,2330.81
11,2330.43
11,2336.59
11,2348.73
11,2353.58
11,2352.44
12,2298.85
12,2079.74
12,2076.33
12,2085.4
12,2074.7
12,2106.0
12,2209.52
12,2216.49
12,2201.26
12,2204.86
12,2203.92
12,2197.67
12,2236.72
12,2291.5
12,2343.14
12,2354.3
12,2356.7
12,2356.72
12,2352.64
12,2365.13
13,2347.77
13,2286.65
13,2075.67
13,2083.01
13,2075.69
13,2100.35
13,2076.48
13,2152.88
13,2244.54
13,2245.66
13,2244.88
13,2249.48
13,2221.74
13,2241.99
13,2339.08
13,2376.63
13,2391.36
13,2383.0
13,2377.46
14,2370.02
13,2375.19
14,2279.1
14,2231.32
14,2231.77
14,2133.12
14,2074.31
14,2077.73
14,2179.46
14,2257.05
14,2271.06
14,2371.72
14,2371.71
14,2371.31
14,2372.48
14,2272.62
14,2296.36
14,2297.49
14,2300.88
14,2316.5
15,2346.62
14,2340.2
15,2396.68
15,2326.41
15,2315.27
15,2284.11
15,2111.89
15,2103.71
15,2074.29
15,2239.95
15,2260.89
15,2259.09
15,2270.91
15,2281.26
15,2266.83
15,2346.22
15,2366.22
15,2384.65
15,2388.09
15,2397.2
16,2393.03
15,2406.41
16,2398.25
16,2344.9
16,2347.73
16,2329.9
16,2300.39
16,2306.44
16,2078.81
16,2218.63
16,2236.87
16,2201.94
16,2205.97
16,2246.48
16,2265.57
16,2285.58
16,2356.84
16,2357.34
16,2360.75
16,2368.67
17,2370.46
16,2401.1
17,2358.06
17,2470.44
17,2462.65
17,2467.71
17,2368.39
17,2426.36
17,2102.47
17,2078.23
17,2084.87
17,2236.25
17,2234.83
17,2269.82
17,2288.09
17,2289.1
17,2323.77
17,2344.58
17,2347.21
17,2333.36
18,2336.88
17,2369.61
18,2370.68
18,2340.43
18,2324.43
18,2349.35
18,2367.84
18,2383.79
18,2290.73
18,2082.16
18,2085.83
18,2241.87
18,2239.63
18,2262.76
18,2239.79
18,2241.52
18,2250.59
18,2257.31
18,2268.75
19,2263.05
18,2268.88
18,2316.55
19,2412.84
19,2417.43
19,2417.06
19,2424.89
19,2424.48
19,2441.58
19,2307.34
19,2148.48
19,2132.83
19,2101.77
19,2101.39
19,2100.28
19,2238.56
19,2223.02
19,2158.55
19,2235.14
20,2231.82
19,2266.11
19,2258.07
19,2247.15
20,2330.86
20,2334.52
20,2342.59
20,2456.22
20,2421.29
20,2417.3
20,2416.11
20,2333.94
20,2335.35
20,2320.14
20,2318.12
20,2243.99
20,2088.69
20,2080.98
20,2156.32
20,2217.88
21,2215.59
20,2212.99
20,2286.05
20,2399.62
21,2263.88
21,2263.84
21,2268.98
21,2264.49
21,2271.07
21,2344.81
21,2357.23
21,2297.25
21,2297.29
21,2131.59
21,2133.25
21,2133.47
21,2075.69
21,2075.37
21,2071.34
21,2139.9
21,2133.13
22,2127.59
21,2210.28
21,2179.86
22,2185.47
22,2203.46
22,2197.14
22,2235.82
22,2236.94
22,2232.39
22,2230.17
22,2230.27
22,2238.0
22,2117.82
22,2120.09
22,2136.2
22,2102.29
22,2076.96
22,2069.45
22,2121.78
23,2119.27
22,2124.05
22,2110.9
22,2139.22
23,2131.23
23,2178.5
23,2172.54
23,2264.78
23,2267.62
23,2243.54
23,2201.35
23,2196.99
23,2246.21
23,2172.34
23,2171.92
23,2165.76
23,2331.22
23,2291.73
23,2101.29
24,2109.79
23,2110.81
23,2111.18
23,2147.39
23,2130.12
24,2169.94
24,2149.5
24,2163.64
24,2209.93
24,2216.68
24,2214.51
24,2218.2
24,2215.52
24,2210.55
24,2191.77
24,2193.04
24,2192.2
24,2176.98
24,2177.05
24,2103.67
25,2105.55
24,2104.48
24,2107.06
24,2075.34
24,2079.61
25,2081.8
25,2261.49
25,2223.63
25,2163.64
25,2224.1
25,2223.54
25,2225.7
25,2220.8
25,2230.19
25,2249.7
25,2243.12
25,2269.11
25,2211.32
25,2211.0
25,2184.16
26,2125.39
25,2125.83
25,2128.61
25,2078.76
25,2150.67
26,2109.33
26,2126.28
26,2125.18
26,2150.65
26,2243.16
26,2259.05
26,2271.2
26,2287.54
26,2281.64
26,2205.99
26,2209.0
26,2210.22
26,2238.95
26,2237.75
26,2242.45
27,2121.79
26,2123.08
26,2123.57
26,2105.27
27,2105.14
26,2124.73
27,2152.48
27,2160.64
27,2131.22
27,2167.19
27,2166.1
27,2233.92
27,2227.73
27,2227.64
27,2174.79
27,2188.16
27,2195.74
27,2236.52
27,2233.03
27,2244.22
28,2137.41
27,2137.94
27,2159.93
27,2113.34
28,2089.33
27,2089.04
28,2091.52
28,2091.06
28,2092.04
28,2166.16
28,2165.97
28,2132.16
28,2155.73
28,2159.8
28,2220.74
28,2219.21
28,2216.42
28,2268.47
28,2269.53
28,2264.21
28,2183.22
29,2188.75
28,2180.04
28,2191.21
28,2092.26
29,2093.38
29,2099.78
29,2103.7
29,2085.63
29,2131.09
29,2143.52
29,2157.7
29,2132.66
29,2132.64
29,2172.81
29,2169.77
29,2184.02
29,2164.24
29,2154.83
29,2137.36
29,2202.71
29,2214.28
29,2183.53
30,2200.94
29,2100.76
30,2099.76
30,2110.6
30,2114.11
30,2093.88
30,2097.43
30,2091.59
30,2114.78
30,2138.91
30,2120.96
30,2154.73
30,2148.9
30,2155.73
30,2159.77
30,2161.04
30,2161.14
30,2174.89
30,2186.64
30,2182.81
31,2184.11
31,2152.37
30,2154.81
31,2116.56
31,2115.19
31,2164.27
31,2095.74
31,2095.05
31,2099.8
31,2141.62
31,2253.46
31,2145.06
31,2143.38
31,2147.12
31,2166.71
31,2137.87
31,2136.35
31,2159.29
31,2184.5
31,2183.46
32,2185.7
32,2192.39
31,2193.78
32,2098.61
32,2099.0
32,2144.56
32,2091.16
32,2090.75
32,2075.18
32,2077.02
32,2151.6
32,2152.4
32,2153.73
32,2153.04
32,2157.8
32,2158.06
32,2175.96
32,2224.09
32,2216.69
32,2221.9
33,2219.12
33,2227.94
32,2227.18
33,2094.4
33,2095.98
33,2087.87
33,2088.11
33,2099.12
33,2072.02
33,2100.1
33,2131.13
33,2132.0
33,2132.23
33,2134.77
33,2192.46
33,2186.3
33,2170.56
33,2140.77
33,2185.74
33,2187.15
34,2187.99
33,2193.9
34,2198.99
34,2164.43
34,2164.81
34,2114.33
34,2137.61
34,2134.98
34,2073.61
34,2079.37
34,2135.57
34,2135.98
34,2137.25
34,2138.99
34,2142.39
34,2181.83
34,2215.27
34,2151.18
34,2223.54
34,2244.44
35,2245.32
34,2233.19
35,2239.95
35,2213.16
35,2215.14
35,2191.14
35,2133.47
35,2144.26
35,2093.85
35,2094.13
35,2142.75
35,2146.65
35,2147.14
35,2154.5
35,2090.96
35,2104.85
35,2176.47
35,2156.58
35,2154.94
35,2183.63
36,2220.84
35,2221.21
36,2238.46
36,2175.21
36,2186.16
36,2250.94
36,2209.22
36,2213.76
36,2173.57
36,2118.35
36,2179.21
36,2178.29
36,2179.64
36,2180.73
36,2079.17
36,2095.46
36,2093.01
36,2144.84
36,2192.17
36,2169.6
37,2223.72
36,2224.52
37,2217.88
37,2221.75
37,2221.84
37,2281.64
37,2321.59
37,2319.45
37,2260.74
37,2276.43
37,2165.94
37,2166.84
37,2167.86
37,2231.84
37,2131.94
37,2170.78
37,2140.38
37,2086.29
37,2266.89
37,2231.65
38,2134.73
37,2252.24
38,2255.51
38,2254.22
38,2258.98
38,2313.7
38,2263.91
38,2207.67
38,2263.74
38,2269.89
38,2176.67
38,2176.9
38,2180.19
38,2128.71
38,2132.71
38,2127.28
38,2143.2
38,2115.12
38,2129.96
38,2187.25
39,2118.7
38,2243.55
39,2233.66
39,2246.61
39,2237.93
39,2227.78
39,2217.11
39,2219.53
39,2233.87
39,2229.15
39,2200.95
39,2201.13
39,2200.94
39,2203.18
39,2109.48
39,2113.52
39,2087.32
39,2116.88
39,2080.2
39,2080.5
40,2092.06
40,2164.88
39,2170.05
40,2193.58
40,2202.82
40,2196.79
40,2239.02
40,2244.0
40,2261.25
40,2270.0
40,2203.08
40,2204.88
40,2206.1
40,2215.54
40,2142.1
40,2138.3
40,2119.63
40,2139.25
40,2074.53
40,2070.9
41,2078.75
41,2239.13
41,2220.08
41,2238.48
40,2241.68
41,2219.96
41,2176.58
41,2198.11
41,2281.59
41,2278.93
41,2293.96
41,2295.06
41,2295.48
41,2297.54
41,2272.98
41,2274.42
41,2231.03
41,2258.46
41,2075.55
41,2082.38
42,2075.27
42,2127.01
42,2127.94
42,2241.93
41,2245.57
42,2255.84
42,2258.73
42,2242.0
42,2266.36
42,2271.49
42,2272.59
42,2273.51
42,2264.45
42,2258.88
42,2291.06
42,2294.11
42,2283.18
42,2253.52
42,2174.73
42,2150.45
43,2099.68
43,2148.28
43,2149.48
43,2162.38
42,2231.42
43,2226.2
43,2243.33
43,2245.27
43,2212.21
43,2222.63
43,2244.4
43,2246.1
43,2217.56
43,2236.23
43,2273.79
43,2271.01
43,2268.12
43,2271.87
43,2174.92
43,2222.63
44,2209.1
44,2151.31
44,2149.55
44,2142.84
43,2165.93
44,2157.66
44,2160.01
44,2157.2
44,2164.58
44,2160.13
44,2197.59
44,2184.14
44,2223.28
44,2257.68
44,2316.51
44,2327.97
44,2325.65
44,2325.79
44,2346.8
44,2278.19
45,2256.85
45,2094.76
45,2093.15
45,2158.41
44,2124.49
45,2177.72
45,2179.28
45,2181.89
45,2145.83
45,2147.4
45,2133.03
45,2134.12
45,2177.0
45,2231.2
45,2178.85
45,2180.85
45,2192.05
45,2207.58
45,2205.45
46,2224.4
45,2230.96
46,2094.36
46,2102.7
46,2133.51
45,2122.1
46,2134.07
46,2199.09
46,2198.27
46,2137.49
46,2139.8
46,2142.01
46,2130.33
46,2181.94
46,2118.8
46,2158.56
46,2158.61
46,2195.69
46,2196.39
46,2197.27
47,2189.54
46,2210.69
47,2090.04
47,2089.6
47,2089.48
46,2127.35
47,2204.76
47,2172.46
47,2164.37
47,2155.99
47,2174.61
47,2096.3
47,2170.15
47,2169.85
47,2133.56
47,2127.88
47,2128.06
47,2134.51
47,2217.01
47,2216.21
47,2216.1
48,2218.04
48,2151.01
48,2150.51
48,2086.4
47,2077.73
48,2159.86
48,2160.75
48,2159.68
48,2161.75
48,2162.65
48,2143.03
48,2138.54
48,2145.59
48,2148.91
48,2134.76
48,2130.77
48,2124.18
48,2188.84
48,2188.9
48,2186.79
49,2184.52
49,2133.69
49,2132.23
49,2094.48
48,2079.43
49,2151.76
49,2153.14
49,2154.48
49,2155.71
49,2162.13
49,2156.11
49,2202.83
49,2214.36
49,2159.9
49,2131.03
49,2128.25
49,2161.31
49,2179.64
49,2188.53
50,2186.92
49,2194.6
50,2134.67
50,2140.21
50,2144.31
49,2102.06
50,2087.45
50,2185.34
50,2179.27
50,2187.42
50,2188.32
50,2228.82
50,2271.38
50,2274.61
50,2370.45
50,2126.28
50,2130.19
50,2154.51
